Tektronix PWRVIEW measurement snap-shot
Created, Thursday, 28 August 2014, 14:31:23
PA1000(0122),S/N C010122,Ver.1.001.006
Meas,PA1000(0122) 1
Ah24p,-4.2831 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah25m,5.6915 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah25p,-90.457 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah26m,5.2838 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah26p,-175.90 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah27m,5.0546 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah27p,99.009 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah28m,4.9851 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah28p,13.243 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah29m,4.9922 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah29p,-73.752 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah30m,5.0814 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah30p,-162.22 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah31m,5.1653 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah31p,108.65 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah32m,5.2187 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah32p,18.174 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah33m,5.2377 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah33p,-73.000 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah34m,5.2249 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah34p,-164.96 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah35m,5.1532 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah35p,102.95 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah36m,5.0067 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah36p,10.551 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah37m,4.8323 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah37p,-104.91 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
